title,description,url,publishedAt,prediction,sentiment_score
Foot - ESP - Valence - Valence CF : Geoffrey Kondogbia va être sanctionné après avoir critiqué le président,"Le milieu du Valence CF, Geoffrey Kondogbia, va être sanctionné par le club après ses critiques sur les réseaux sociaux visant le président Anil Murthy.",https://www.lequipe.fr/Football/Actualites/Valence-cf-geoffrey-kondogbia-va-etre-sanctionne-apres-avoir-critique-le-president/1184411,2020-10-16T16:23:00Z,neutral,-0.069189355
El Valencia se pone serio: sancionará a Kondogbia,"El club blanquinegro no pasará por alto el mensaje del centroafricano en Instagram en el que aseguraba sentirse engañado por el presidente, Anil Murthy.",https://as.com/futbol/2020/10/16/primera/1602853282_148453.html,2020-10-16T13:05:28Z,neutral,-0.09466902
"Anil Murthy, el presidente al que nadie quiere en Valencia",Anil Murthy tiene el don de dejar un pasto de llamas allá por donde pasa y los incendios se multiplican por Valencia desde que Lim le delegó la gestión del día a día del club.,https://as.com/opinion/2020/10/16/portada/1602848971_332545.html,2020-10-16T11:57:26Z,neutral,-0.08676071
FC Valencia: Kondogbia kritisiert „Betrüger“ Murthy – „Ehrgeiziges Projekt zerstört“,"Leistungsträger unter Marktwert verkauft, 60 Millionen Euro eingenommen, keinen einzigen in Ersatz reinvestiert: Die vergangene Transferperiode sorgte beim FC Valencia sowohl intern als auch...",https://www.transfermarkt.de/kondogbia-kritisiert-bdquo-betruger-ldquo-murthy-ndash-bei-valencia-ein-bdquo-ehrgeiziges-projekt-zerstort-ldquo-/view/news/373011,2020-10-16T14:45:06Z,neutral,0.0010351241
"El Valencia se defiende del raje de Kondogbia: ""La oferta del Atlético era imposible""","El Valencia recalca que el Atlético, club al que quisiera ir el francés, solo ofreció una cesión con opción de compra tres días después del cierre de mercado.",https://as.com/futbol/2020/10/16/primera/1602836726_172579.html,2020-10-16T08:28:15Z,neutral,-0.008087061
Kondogbia «arrasa» presidente do Valência nas redes sociais,Médio diz ter sido enganado por Anil Murthy,https://maisfutebol.iol.pt/internacional/espanha/kondogbia-arrasa-presidente-do-valencia-nas-redes-sociais,2020-10-16T08:50:20Z,neutral,-0.09754106
Peter Lim adquiere 17.600 acciones más del Valencia,El propietario de la entidad invierte 120.000 euros más en un paquete accionarial que había sacado a subasta el Juzgado 3 de lo Mercantil de Valencia.,https://as.com/futbol/2020/10/16/primera/1602862813_944733.html,2020-10-16T15:46:26Z,neutral,-0.0138183385
Kondogbia desata otro incendio en el Valencia,"El centrocampista francés del Valencia, Geoffrey Kondogbia, envió un duro mensaje al presidente del club, Anil Murthy, al que agradeció con ironía el «destruir un proyecto ambicioso» y no haber cumplido su palabra ni con el técnico Javi Gracia ni con él mismo…",https://www.abc.es/deportes/futbol/abci-kondogbia-desata-otro-incendio-valencia-202010161032_noticia.html,2020-10-16T08:32:10Z,neutral,-0.14144814
"Valencia senza pace, lo sfogo di Kondogbia: ""Murthy ha ingannato tutti. Progetto distrutto""","Ennesimo caso a Valencia. Dopo le ""quasi dimissioni"" di Javi Gracia, è la volta di un durissimo attacco di Geoffrey Kondogbia. Il destinatario? Ovviamente il presidente del club, Anil Murthy, che è",https://www.tuttomercatoweb.com/calcio-estero/valencia-senza-pace-lo-sfogo-di-kondogbia-murthy-ha-ingannato-tutti-progetto-distrutto-1445757,2020-10-16T08:42:28Z,neutral,-0.07721628
Kondogbia s'en prend au président de Valence,"Le FC Valence encore et toujours dans la tourmente. 

Dans une story Instagram, Geoffrey Kondogbia a dézingué le président du club che. Il aura suffi d'à peine une phrase…",https://www.sofoot.com/kondogbia-s-en-prend-au-president-de-valence-489917.html,2020-10-16T10:01:00Z,neutral,-0.019977994
Guerra en Valencia: Kondogbia ataca al presidente y presiona para ir al Atlético,"""Después de haber destruido un proyecto ambicioso, has tenido que engañar a tu entrenador y por último a mí. Gracias Anil Murthy"", dijo el medio.",https://www.libertaddigital.com/deportes/futbol/2020-10-16/guerra-en-valencia-kondogbia-ataca-al-presidente-y-presiona-para-ir-al-atletico-6670433/,2020-10-16T07:26:17Z,neutral,-0.22104385
Therese Poletti's Tech Tales: How did Intel lose its Silicon Valley crown?,"Intel Corp., Silicon Valley’s largest chip maker, is still the dominant provider of chips for personal computers and servers, but its reign as the king of manufacturing in the industry is now over.",https://www.marketwatch.com/story/how-did-intel-lose-its-silicon-valley-crown-2020-10-16,2020-10-16T21:52:06Z,neutral,-0.014823735
"Valencia president Anil Murthy has 'destroyed' club, blasts Geoffrey Kondogbia",Valencia's midfield lynchpin Geoffrey Kondogbia has taken aim at club's  president after the team's best players were allowed to leave the Mestalla without new recruits being brought in.,https://www.dailymail.co.uk/sport/football/article-8847131/Valencia-president-Anil-Murthy-destroyed-club-blasts-Geoffrey-Kondogbia.html,2020-10-16T11:56:24Z,negative,-0.8723255
A Valencia scoppia il caso Kondogbia: l'ex Inter non si è allenato dopo l'attacco al presidente,"Il caso Geoffrey Kondogbia continua a farla da padrone a Valencia. Dopo lo sfogo sui social all'indirizzo del presidente dei pipistrelli, il centrocampista ex Inter questa mattina non si è allenato a",https://www.tuttomercatoweb.com/calcio-estero/a-valencia-scoppia-il-caso-kondogbia-l-ex-inter-non-si-e-allenato-dopo-l-attacco-al-presidente-1445819,2020-10-16T15:42:56Z,neutral,-0.04237313
"Duras críticas de Kondogbia al presidente del Valencia: ""Has tenido que engañar a tu entrenador y por último a mí""","El centrocampista francés también acusa a Anil Murthy ""de haber destruido un proyecto ambicioso"", en referencia al de Marcelino. El club le dejó negociar con el Atlético de Madrid y después le cerró las puertas Leer",https://www.elmundo.es/deportes/futbol/primera-division/2020/10/16/5f89356cfdddffff098b4692.html,2020-10-16T05:54:13Z,neutral,-0.029762112
Congress MLA Demands Expulsion of Two Ex-corporators Involved in Bengaluru Riots,"Obliquely intensifying his attack on his rivals within the party, Srinivasamurthy on Thursday demanded that the Congress party should take immediate steps to expel party leaders who allegedly conspired in arson and looting.",https://ca.sports.yahoo.com/news/congress-mla-demands-expulsion-two-030700299.html,2020-10-16T03:07:00Z,negative,-0.8245953
"Kondogbia: ""Destruíste um projeto ambicioso e ainda nos enganaste. Obrigado, Murthy!""","O Valência, clube onde militam os portugueses Thierry Correia e Gonçalo Guedes, continua a passar por um momento conturbadio e o clima parece longe de acalmar.Agora, foi a vez do médio francês Geoffrey Kondogbia, no clube desde 2017/18, a recorrer às redes so…",https://desporto.sapo.pt/futebol/la-liga/artigos/kondogbia-destruiste-um-projeto-ambicioso-e-ainda-nos-enganaste-obrigado-murthy,2020-10-16T07:27:00Z,neutral,-0.010204103
"Kondogbia 'agradece' a Murthy ""destruir un proyecto ambicioso"" y engañarle","El centrocampista francés del Valencia CF, Geoffrey Kondogbia, envió un fuerte mensaje al presidente del club, Anil Murthy, al que agradeció con ironía el ""destruir un proyecto ambicioso"" y no haber cumplido su palabra ni con el técnico Javi Gracia ni con él …",https://www.europapress.es/deportes/futbol-00162/noticia-kondogbia-agradece-murthy-destruir-proyecto-ambicioso-enganarle-20201016093249.html,2020-10-16T07:32:49Z,neutral,-0.1339958
Otro incendio en Valencia: Geoffrey Kondgobia explota contra Anil Murthy,"El centroafricano acusa a Anil Murthy de torpedear el proyecto, de engañar al entrenador y también de mentirle a él",https://www.goal.com/es/noticias/otro-incendio-en-valencia-geoffrey-kondgobia-explota-contra-anil-/cr7j1hauatgy1e4gzuqpqjqzn,2020-10-16T07:50:37Z,neutral,-0.019274347
