title,description,url,publishedAt,prediction,sentiment_score
"Rishi Sunak, el joven ministro millonario a cargo de las finanzas de Reino Unido","La llegada de Rishi Sunak al gobierno de Boris Johnson no fue una sorpresa. Lo que sí fue una sorpresa fue su meteórico y repentino ascenso al puesto de ministro de Finanzas con solo 39 años en febrero de este año, tras la también inesperada renuncia de Sajid…",https://www.abc.es/estilo/gente/abci-rishi-sunak-joven-ministro-millonario-cargo-finanzas-reino-unido-202010280057_noticia.html,2020-10-27T23:57:34Z,neutral,-0.07736692
La incógnita Kondogbia,El centroafricano debería regresar esta semana a los entrenamientos para volver en el duelo contra el Getafe. Pero la amenaza del Atlético sigue latente hasta el día 5.,https://as.com/futbol/2020/10/26/primera/1603740631_443921.html,2020-10-27T02:45:35Z,neutral,-0.042933024
‘About 25% of 5 mn Indian tech force facing existential crisis’,"They are in the 40-45 age bracket, possess generic skills: experts",https://www.thehindu.com/business/about-25-of-5-mn-indian-tech-force-facing-existential-crisis/article32957721.ece,2020-10-27T17:19:46Z,neutral,0.006857833
Biden vows to work with Dr. Fauci on rapid coronavirus response if elected,"Should he win next week’s presidential election, Joe Biden is vowing to begin combating the coronavirus before he even takes office",https://www.independent.co.uk/news/world/americas/us-politics/biden-coronavirus-response-congress-trump-fauci-election-b1378498.html,2020-10-27T21:47:01Z,positive,0.6172625
Biden faces challenges in quickly combating the pandemic,"If Joe Biden wins next week's election, he says he'll immediately call Dr. Anthony Fauci, the nation's top infectious-disease expert. The early days of a Biden administration would be consumed by a pandemic response.",https://news.yahoo.com/biden-faces-challenges-quickly-combating-200337094.html,2020-10-27T20:03:37Z,neutral,0.0944788
Biden faces challenges in quickly combating the pandemic,"Should he win next week’s presidential election, Joe Biden is vowing to begin combating the coronavirus before he even takes office",https://abcnews.go.com/Health/wireStory/biden-faces-challenges-quickly-combating-pandemic-73863134,2020-10-27T20:04:03Z,positive,0.53839564
Biden faces challenges in quickly combating the pandemic,"WILIMINGTON, Del. - If Joe Biden wins next week's election, he says he'll immediately call Dr. Anthony Fauci, the nation's top infectious-disease expe...",https://www.thestar.com/news/world/us/2020/10/27/biden-faces-challenges-in-quickly-combating-the-pandemic.html,2020-10-27T20:04:29Z,neutral,0.34600395
Parties play up Vokkaliga caste factor in campaign ahead of bypolls,"State Congress president DK Shivakumar on Monday sought to defend himself against the BJP’s charge. He wondered why the BJP has drafted only Vokkaliga ministers — CN Ashwath Narayan, R Ashoka, ST Somashekara and CT Ravi — on campaign duty if not for the caste…",https://economictimes.indiatimes.com/news/politics-and-nation/parties-play-up-vokkaliga-caste-factor-in-campaign-ahead-of-bypolls/articleshow/78885148.cms,2020-10-27T05:06:47Z,neutral,-0.10999363
Biden faces challenges in quickly combating the pandemic,"WILIMINGTON, Del. (AP) — If Joe Biden wins next week's election, he says he'll immediately call Dr. Anthony Fauci, the nation's top infectious-disease expert. He'll work with governors and local officials to institute a nationwide mask-wearing mandate and ins…",https://apnews.com/ebafe5c438cbad81fc7eb2b3a3a3abd1,2020-10-27T20:03:38Z,neutral,0.43762654
Biden faces challenges in quickly combating the pandemic,"Should he win next week’s presidential election, Joe Biden is vowing to begin combating the coronavirus before he even takes office",https://www.independent.co.uk/news/world/americas/us-politics/biden-faces-challenges-in-quickly-combating-the-pandemic-joe-biden-congress-donald-trump-anthony-fauci-administration-b1376739.html,2020-10-27T20:03:38Z,positive,0.53839564
"Treinando separado, Kondogbia aguarda oferta do Atlético de Madrid","Volante teve problemas com o presidente do Valencia, mas a assessoria do clube garante que são problemas musculares","https://www.terra.com.br/esportes/lance/treinando-separado-kondogbia-aguarda-oferta-do-atletico-de-madrid,5368fd299a579cd35ff563cb730452266932cqpo.html",2020-10-27T18:57:43Z,neutral,-0.24058308
Kondogbia apura con sus molestias el plazo del Atlético para ficharle,"Las molestias que sufre Geoffrey Kondogbia en el talón derecho le mantienen ya casi dos semanas al margen de los entrenamientos del Valencia y ‘amenazan’ con extenderse hasta el plazo que tiene el Atlético de Madrid para ficharlo, que expira el...",https://www.mundodeportivo.com/futbol/valencia/20201027/4948024181/valencia-atletico-de-madrid-kondogbia.html,2020-10-27T12:28:58Z,neutral,-0.0013127215
Biden faces challenges in quickly combating the pandemic,"If Joe Biden wins next week's election, he says he'll immediately call Dr. Anthony Fauci, the nation's top infectious-disease expert. He'll work with governors and local officials to institute a nationwide mask-wearing mandate and instruct Congress to pass a …",https://www.startribune.com/biden-faces-challenges-in-quickly-combating-the-pandemic/572888041/,2020-10-27T20:05:31Z,positive,0.47939008
José Luis Zaragosí presenta la dimisión como consejero del Valencia,El consejero del Valencia José Luis Zaragosí ha presentado finalmente su dimisión y de ese modo abandona la entidad de Mestalla tras llevar...,https://www.marca.com/futbol/valencia/2020/10/27/5f984b37268e3e4f178b456c.html,2020-10-27T16:42:37Z,neutral,0.00025663525
Biden faces challenges in quickly combating the pandemic,"WILIMINGTON, Del. (AP) - If Joe Biden wins next week's election, he says he'll immediately call Dr. Anthony Fauci, the nation's top infectious-disease expert. He'll work with governors and local officials to institute a nationwide mask-wearing mandate and ins…",https://www.seattlepi.com/news/article/Biden-faces-challenges-in-quickly-combating-the-15679029.php,2020-10-27T20:20:43Z,neutral,0.43762654
