title,description,url,publishedAt,prediction,sentiment_score
"Javi Gracia: ""Murthy me llamó para asegurarme que Kondogbia sigue con nosotros""","El técnico del Valencia trató todos los temas que han acontecido en el club en los últimos 15 días, incluida su salida frustrada de la entidad.",https://as.com/futbol/2020/10/17/primera/1602934847_287382.html,2020-10-17T11:45:54Z,neutral,-0.018377122
Low-key Mysuru Dasara gets off to a start,"Cardiologist Manjunath inaugurates fest, prays for early arrival of vaccine for COVID-19; CM Yediyurappa says govt. tackling flood situation in North Karnataka",https://www.thehindu.com/news/national/karnataka/low-key-mysuru-dasara-gets-off-to-a-start/article32879601.ece,2020-10-17T07:43:56Z,positive,0.61732817
Javi Gracia cambia de discurso: «Estoy súper contento de estar en el Valencia»,"El entrenador del Valencia, Javi Gracia, aseguró que pese a que hace unos días buscó una salida amistosa para su contrato al sentirse engañado por la falta de fichajes se queda en la entidad muy contento y de hecho dijo que espera estar más allá de esta tempo…",https://www.abc.es/deportes/futbol/abci-javi-gracia-cambia-discurso-estoy-super-contento-estar-valencia-202010171433_noticia.html,2020-10-17T12:33:07Z,neutral,-0.13586572
Las claves de la voladura del Valencia a manos de Peter Lim,"Meriton lleva al club al límite. Técnico y jugadores se revelan ante los engaños del presidente, la afición se ha levantado contra el máximo accionista y la perdido credibilidad en las instituciones Leer",https://www.elmundo.es/deportes/futbol/primera-division/2020/10/17/5f89da26fc6c83a24a8b45e4.html,2020-10-17T07:29:59Z,neutral,-0.089990824
"Tras el rajadón de Kondogbia, el Valencia confirma su baja “por molestias en el talón”","El Valencia confirmó este sábado la baja de Geoffrey 
 Kondogbia para el choque ante el Villarreal por unas molestias en el talón.

 
 
 

El jugador francés no se ha entrenado con sus compañeros los últimos días y la entidad...",https://www.mundodeportivo.com/futbol/valencia/20201017/484129896602/kondogbia-valencia-murthy.html,2020-10-17T10:23:55Z,neutral,-0.12556273
Sigue la guerra en Valencia: la extraña baja de Kondogbia frente al Villarreal,"El centrocampista se perderá el derbi tras presentar molestias en la cara posterior del talón de su pie derecho, todo después de su ataque al presidente Anil Murthy",https://www.elconfidencial.com/deportes/futbol/2020-10-17/valencia-kondogbia-ataca-murthy-atletico-madrid_2792247/,2020-10-17T10:15:00Z,neutral,-0.14489476
"ज्यादा लगेज पर लगा चार्ज तो गुस्साए करणवीर, ट्वीट कर की शिकायत",करणवीर बोहरा ने ट्विटर पर एक फोटो शेयर कर अपना गुस्सा जाहिर करते हुए लिखा- बहुत ही दुखद है.  मेरे 2 बैग में 4 किलोग्राम सामान ज्यादा था और एयरलाइन द्वारा उन्हें छूट नहीं मिली और उन्हें इसके लिए एक्स्ट्रा पैसे देने पड़े.,https://www.aajtak.in/entertainment/television/story/karanvir-bohra-bashes-airline-for-this-reason-netizens-trolled-actor-tmov-1146838-2020-10-17,2020-10-17T02:09:42Z,neutral,0.037460092
"Sigue el lío: Kondogbia, baja en el Valencia para visitar al Villarreal","El club informa que el galo sufre molestias en la cara posterior del talón de su pie derecho, sólo dos días después de su rajada contra Anil Murthy.",https://www.goal.com/es/noticias/sigue-el-lio-kondogbia-baja-en-el-valencia-para-visitar-al/1202rml808y511ajc64d3c2bwg,2020-10-17T09:54:18Z,neutral,-0.05056907
Gracia dice que se queda “súper contento” y que Kondogbia no se va,Javi Gracia quiere pasar página y espera que también lo haga Geoffrey Kondogbia porque ambos se quedan en el Valencia. Lo suyo lo sabía desde que el club le remitió a la cláusula para salir y lo del francés se lo transmitió el presidente Anil Murthy...,https://www.mundodeportivo.com/futbol/valencia/20201017/484132256287/valencia-kondogbia-javi-gracia.html,2020-10-17T12:09:04Z,neutral,-0.092286885
Betis y Real Sociedad enfrentan sus buenas rachas; derbi de viejos conocidos en La Cerámica,"El Real Betis y la Real Sociedad, segundo y tercer clasificados de LaLiga Santander antes del comienzo de la jornada, se enfrentan este domingo para tratar de dar continuidad a sus buenas sensaciones de antes del parón, en una sexta jornada en la que Villarre…",https://www.europapress.es/deportes/futbol-00162/noticia-betis-real-sociedad-enfrentan-buenas-rachas-derbi-viejos-conocidos-ceramica-20201017160745.html,2020-10-17T14:07:45Z,neutral,-0.048446774
