title,description,url,publishedAt,prediction,sentiment_score
"Murthy: ""Tengo confianza total en que vamos a mejorar""","""Contra el Villarreal vi a un equipo muy comprometido, que quiere mejorar y que no se va a rendir. El entrenador sabe lo que tiene"", ha declarado el presidente del Valencia.",https://as.com/futbol/2020/10/20/primera/1603205867_735128.html,2020-10-20T15:01:48Z,neutral,-0.045987755
Aficionados contratan unos mariachis para que sigan a la directiva del Valencia,"Unos mariachis mejicanos, contratados por aficionados che, han acompañado a la directiva che desde su lugar habitual de almuerzo hasta las oficinas del club",https://as.com/futbol/2020/10/20/primera/1603190860_293645.html,2020-10-20T10:54:53Z,neutral,-0.094160534
Guedes encuentra su sitio ideal en la delantera,"El luso jugó su mejor partido esta temporada actuando en punta de ataque. Sus números, como delantero o mediapunta, son espectaculares: 9 partidos, 5 goles y 2 asistencias",https://as.com/futbol/2020/10/20/primera/1603214655_419839.html,2020-10-20T17:25:40Z,neutral,-0.02840558
Aficionados del Valencia envían unos mariachis a los ejecutivos de Peter Lim,"La afición del Valencia anda soliviantada contra Peter Lim y los gestores que ha colocado al frente del Valencia, que le han llevado al club a una voladura de los pilares (técnico,",https://www.elmundo.es/deportes/futbol/2020/10/20/5f8eda4121efa05b328b4663.html,2020-10-20T12:40:11Z,neutral,-0.024812762
When a Friend Is Your Life Partner,"“Our boyfriends, our significant others, and our husbands are supposed to be No. 1. Our worlds are backward.”",https://www.theatlantic.com/family/archive/2020/10/people-who-prioritize-friendship-over-romance/616779/,2020-10-20T11:30:00Z,negative,-0.5268181
Online course on public health planning for hearing impairment,"International centre for evidence for disability, London School of Hygiene and Tropical Medicine, UK &amp;amp; South Asia Centre for disability inclusive development &amp;amp; research of the Indian I",https://www.thehindu.com/news/cities/Hyderabad/online-course-on-public-health-planning-for-hearing-impairment/article32904002.ece,2020-10-20T18:18:10Z,neutral,0.011911388
Aficionados del Valencia contratan a unos mariachis para cantarle las cuarenta a Lim,"El cisma 
 social que vive el Valencia ha tenido este martes una peculiar banda 
 sonora. Según ha desvelado la asociación Libertad VCF, unos seguidores del club han contratado a un grupo de mariachis para ‘acompañar’ en su almuerzo a los...",https://www.mundodeportivo.com/futbol/valencia/20201020/484200911131/valencia-ranchera-mariachi-lim.html,2020-10-20T11:43:45Z,neutral,-0.05131354
Aficionados del Valencia contratan mariachis para protestar ante los enviados de Peter Lim,Singular protesta contra la gestión del presidente che al son de 'Rata de dos patas',https://www.lavozdegalicia.es/noticia/deportes/2020/10/20/aficionados-valencia-contratan-mariachis-protestar-ante-enviados-peter-lim/00031603197382617277698.htm,2020-10-20T13:46:00Z,neutral,-0.319959
"Murthy: ""El entrenador sabe lo que tiene, el equipo está con él, vamos a pelear y va a mejorar""","El presidente del Valencia, Anil Murthy, ha valorado el momento que atraviesa el equipo y augura una mejora en el futuro a corto plazo. &quot;Es una...",https://www.marca.com/futbol/valencia/2020/10/20/5f8ee07922601d762e8b459e.html,2020-10-20T13:06:54Z,neutral,-0.0034521073
"El Valencia despide a Alex Navarro, director de comunicación, tras 16 años en el club","El Valencia, en concreto el nuevo liquidador que Peter Lim ha mandado al club, Joey Lim, ha despedido durante la mañana de hoy martes al director de...",https://www.marca.com/futbol/valencia/2020/10/20/5f8efb4a268e3efc4c8b4598.html,2020-10-20T15:13:35Z,neutral,-0.010045126
Bengaluru riots: Call records reveal Congress's Sampath Raj was in touch with other accused during violence,The call details reveal that Sampath Raj was in constant touch with his aides and Social Democratic Party of India (SDPI) leaders who have been arrested before and during the DJ Halli riots.,https://www.indiatoday.in/india/story/bengaluru-riots-call-records-congress-sampath-raj-1733584-2020-10-21,2020-10-20T22:33:55Z,neutral,-0.13757719
Rapid Epidemiological Analysis of Comorbidities and Treatments as risk factors for COVID-19 in Scotland (REACT-SCOT): A population-based case-control study,Paul McKeigue and co-workers study comorbidities and medical treatments as risk factors for severe COVID-19 in Scotland.,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003374,2020-10-20T17:52:08Z,neutral,0.015543889
Alex al final has salido en MARCA,No exagero si digo que en los últimos años he hablado más tiempo por teléfono con Alex Navarro que con mi propia madre. Entiendan que este...,https://www.marca.com/futbol/valencia/opinion/2020/10/20/5f8f0080268e3e05078b460c.html,2020-10-20T18:47:54Z,neutral,-0.120242566
Bengaluru violence: Accused Congress corporator Sampath Raj applies for anticipatory bail,"On Tuesday, it was disclosed that Congress corporator and ex-Mayor Sampath Raj, accused in the Bengaluru riots case, has moved court seeking pre-arrest bail.",https://www.republicworld.com/india-news/law-and-order/bengaluru-violence-accused-congress-corporator-sampath-raj-seeks-anti.html,2020-10-20T16:06:30Z,neutral,-0.08410613
Bengaluru judge hearing Sandalwood drugs DJ Halli riots cases gets explosive-laced mail,"A Bengaluru judge received explosive items attached to a letter, demanding the release of the accused in the Sandalwood drug case and the DJ Halli violence case",https://www.republicworld.com/india-news/general-news/bengaluru-judge-hearing-sandalwood-drug-case-gets-bomb-threat.html,2020-10-20T05:37:32Z,negative,-0.72359633
