Symbol,avg_sentiment_score,articles,negative,neutral,positive
ADANIPOWER,0.13500453531742096,29,20.689655172413794,48.275862068965516,31.03448275862069
INFY,-0.03383932635188103,14,21.428571428571427,50.0,28.57142857142857
LTI,0.02227933704853058,2,0.0,100.0,0.0
RELIANCE,0.13697081804275513,100,17.0,53.0,30.0
TCS,0.49713143706321716,10,0.0,30.0,70.0
IDEA,0.11308553814888,1,0.0,100.0,0.0
