Symbol,avg_sentiment_score,articles,negative,neutral,positive
ADANIPOWER,0.15815132856369019,30,23.333333333333332,33.33333333333333,43.333333333333336
INFY,0.08563432097434998,10,20.0,50.0,30.0
LTI,0.3208850622177124,2,0.0,50.0,50.0
RELIANCE,0.06554815173149109,100,26.0,43.0,31.0
TCS,0.33123978972435,17,5.88235294117647,47.05882352941176,47.05882352941176
IDEA,0.3126690983772278,4,25.0,0.0,75.0
