Date,Score,positive,neutral,negative
2020-10-14,-0.177723,20,40,40
2020-10-16,-0.518837,0,0,100
2020-10-19,0.113086,0,100,0
2020-10-20,-0.216666,50,0,50
2020-10-21,0.141614,50,50,0
2020-10-23,0.312669,75,0,25
2020-10-26,-0.833529,0,0,100
2020-10-27,0.445117,50,50,0
2020-10-29,0.247082,0,100,0
