title,description,url,publishedAt,prediction,sentiment_score
Stock market update: Nifty IT index slides 1%; Wipro dips 6%,The index was trading 1.05 per cent down at 22256.25.,https://economictimes.indiatimes.com/markets/stocks/news/stock-market-update-nifty-it-index-slides-1-wipro-dips-6nbsp/articleshow/78656205.cms,2020-10-14T07:16:49Z,negative,-0.964832
Stock market update: MidCap stocks fall; Natco Pharma dips 5%,The S&P BSE MidCap index was trading 0.12 per cent down at 14635.19.,https://economictimes.indiatimes.com/markets/stocks/news/stock-market-update-midcap-stocks-fall-natco-pharma-dips-5/articleshow/78656599.cms,2020-10-14T07:32:40Z,negative,-0.96656835
