Date,Score,positive,neutral,negative
2020-10-14,-0.9657,0,0,100
2020-10-15,-0.964205,0,0,100
2020-10-16,-0.024551,50,0,50
2020-10-18,0.142417,0,100,0
2020-10-19,0.022279,0,100,0
2020-10-20,0.24397,44.444444,38.888889,16.666667
2020-10-21,0.16867,35.714286,57.142857,7.142857
2020-10-22,0.145208,11.111111,88.888889,0
2020-10-23,0.320885,50,50,0
2020-10-27,-0.077458,50,0,50
2020-10-28,-0.967448,0,0,100
